Receipt No,Date_time,Date,Activity,Amount,Currency,CAD Amount,CAD Rate,BTC,BTC-cost,BTC-avg-cost,ETH,ETH-cost,ETH-avg-cost,LTC,LTC-cost,LTC-avg-cost
f6407363-1b33-4a14-89ea-e23ac9c33c10,2020-02-04 06:35:37 UTC,2020-02-04,fund-e-transfer,200,CAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b3ff9d38-126a-4edc-8852-6b2baed610ca,2020-02-04 06:37:18 UTC,2020-02-04,trade-buy,0.0160347,BTC,200,12472.94,0.0160347,200,12472.949291224657,0,0,NA,0,0,NA
cc318974-d439-4c5b-9573-1985b273c2cb,2020-02-07 06:35:42 UTC,2020-02-07,fund-e-transfer,400,CAD,NA,NA,0,0,12472.949291224657,0,0,NA,0,0,NA
59d291a3-9c89-4957-af16-f5bb6afd8373,2020-02-07 06:36:51 UTC,2020-02-07,trade-buy,0.02254395,BTC,300,13307.33,0.02254395,300,12960.536462525257,0,0,NA,0,0,NA
89836c8c-fa90-4c81-8bf4-9ea6e5237be1,2020-10-25 03:20:28 UTC,2020-10-25,fund-e-transfer,2000,CAD,NA,NA,0,0,12960.536462525257,0,0,NA,0,0,NA
c332e34a-6133-4941-a351-6b882c69f947,2020-10-26 20:44:27 UTC,2020-10-26,trade-buy,0.99998966,ETH,531.99,531.99,0,0,12960.536462525257,0.99998966,531.99,531.9955008334787,0,0,NA
044e946f-c5eb-4086-bbee-969e12984777,2020-10-26 20:47:58 UTC,2020-10-26,trade-buy,0.01134386,BTC,199.99,17629.79,0.01134386,199.99,14021.5305680744,0,0,531.9955008334787,0,0,NA
e1a9736a-abab-41a3-82d1-f64b04312c11,2020-11-01 19:41:14 UTC,2020-11-01,trade-buy,0.93552249,ETH,499.99,534.45,0,0,14021.5305680744,0.93552249,499.99,533.1818764351337,0,0,NA
58e7cd57-5e64-4869-b326-55e2ecb060f8,2020-11-01 19:50:41 UTC,2020-11-01,trade-buy,0.01586373,BTC,299.99,18910.43,0.01586373,299.99,15200.443132180833,0,0,533.1818764351337,0,0,NA
2a090234-a6b9-468c-9fc4-9506a6bb31ca,2020-11-09 16:35:46 UTC,2020-11-09,trade-buy,0.9942,LTC,77.19,77.64,0,0,15200.443132180833,0,0,533.1818764351337,0.9942,77.19,77.6403138201569
00dd4e6d-06ce-4218-b443-6962c9ddab1d,2020-11-26 02:13:34 UTC,2020-11-26,trade-sell,1,ETH,730.48,730.48,0,0,15200.443132180833,-1,-533.1818764351337,533.1818764351336,0,0,77.6403138201569
893fa45a-e3d3-4a35-b335-d6c52575c34f,2020-12-04 22:48:38 UTC,2020-12-04,trade-sell,0.9942,LTC,102.24,102.84,0,0,15200.443132180833,0,0,533.1818764351336,-0.9942,-77.19,NA
99451a0c-1177-4495-8534-4b0fa377c56c,2020-12-05 00:03:30 UTC,2020-12-05,trade-buy,1,ETH,747,747,0,0,15200.443132180833,1,747,643.6529595357313,0,0,NA
63db7512-03f3-490e-b8c3-18f166f17e1b,2020-12-10 10:57:32 UTC,2020-12-10,fund-e-transfer,1000,CAD,NA,NA,0,0,15200.443132180833,0,0,643.6529595357313,0,0,NA
7d933a1b-5d0d-4543-922d-04a66a7d941c,2020-12-23 22:21:06 UTC,2020-12-23,trade-buy,1.26903553,ETH,1000,788,0,0,15200.443132180833,1.26903553,1000,700.8159490280594,0,0,NA
d4ecd57b-82bb-4f0e-99b2-ff0d81604db2,2020-12-23 22:22:13 UTC,2020-12-23,trade-buy,1.52671,LTC,200,131,0,0,15200.443132180833,0,0,700.8159490280594,1.52671,200,131.00064845320983
e2224296-5808-46ea-8515-b568d5e7ea37,2021-01-04 06:41:28 UTC,2021-01-04,trade-buy,0.00523258,BTC,200,38222,0.00523258,200,16896.647958949474,0,0,700.8159490280594,0,0,131.00064845320983
8e236bb3-6486-4f45-885c-6d90f3373ac4,2021-01-04 08:43:54 UTC,2021-01-04,fund-e-transfer,1000,CAD,NA,NA,0,0,16896.647958949474,0,0,700.8159490280594,0,0,131.00064845320983
4e2d9809-5c9e-40a3-ab70-6e8b4c9895f7,2021-01-11 03:32:53 UTC,2021-01-11,trade-buy,0.14084507,ETH,200,1420,0,0,16896.647958949474,0.14084507,200,731.0944652357682,0,0,131.00064845320983
a65fa9a3-e26c-4fbf-9dfe-96cb0824df9c,2021-01-11 14:14:27 UTC,2021-01-11,trade-buy,0.1532567,ETH,200,1305,0,0,16896.647958949474,0.1532567,200,756.2341301626735,0,0,131.00064845320983
7252a08e-c544-4857-95a3-34785240fa93,2021-01-11 14:18:22 UTC,2021-01-11,trade-buy,0.00465116,BTC,200,43000,0.00465116,200,18501.12818848373,0,0,756.2341301626735,0,0,131.00064845320983
b80eb7b3-a456-4cac-bd63-7717371a43d6,2021-01-11 16:39:37 UTC,2021-01-11,trade-sell,0.06612007,BTC,2460.83,37217.61,-0.06612007,-1223.2958909015174,18501.128188483737,0,0,756.2341301626735,0,0,131.00064845320983
ee00a077-cb6c-4ce9-81bb-8eff153f110f,2021-01-11 16:40:14 UTC,2021-01-11,trade-sell,1.75132675,ETH,1999.99,1141.99,0,0,18501.128188483737,-1.75132675,-1324.413061416872,756.2341301626734,0,0,131.00064845320983
